id,pokedex_number,name,generation,status,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed
397,336,Seviper,3,Normal,Poison,,73,100,60,100,60,65
398,337,Lunatone,3,Normal,Rock,Psychic,90,55,65,95,85,70
399,338,Solrock,3,Normal,Rock,Psychic,90,95,85,55,65,70
400,339,Barboach,3,Normal,Water,Ground,50,48,43,46,41,60
401,340,Whiscash,3,Normal,Water,Ground,110,78,73,76,71,60
402,341,Corphish,3,Normal,Water,,43,80,65,50,35,35
403,342,Crawdaunt,3,Normal,Water,Dark,63,120,85,90,55,55
404,343,Baltoy,3,Normal,Ground,Psychic,40,40,55,40,70,55
405,344,Claydol,3,Normal,Ground,Psychic,60,70,105,70,120,75
406,345,Lileep,3,Normal,Rock,Grass,66,41,77,61,87,23
407,346,Cradily,3,Normal,Rock,Grass,86,81,97,81,107,43
408,347,Anorith,3,Normal,Rock,Bug,45,95,50,40,50,75
409,348,Armaldo,3,Normal,Rock,Bug,75,125,100,70,80,45
410,349,Feebas,3,Normal,Water,,20,15,20,10,55,80
411,350,Milotic,3,Normal,Water,,95,60,79,100,125,81
412,351,Castform,3,Normal,Normal,,70,70,70,70,70,70
413,351,Castform Sunny Form,3,Normal,Fire,,70,70,70,70,70,70
414,351,Castform Rainy Form,3,Normal,Water,,70,70,70,70,70,70
415,351,Castform Snowy Form,3,Normal,Ice,,70,70,70,70,70,70
416,352,Kecleon,3,Normal,Normal,,60,90,70,60,120,40
417,353,Shuppet,3,Normal,Ghost,,44,75,35,63,33,45
418,354,Banette,3,Normal,Ghost,,64,115,65,83,63,65
419,354,Mega Banette,3,Normal,Ghost,,64,165,75,93,83,75
420,355,Duskull,3,Normal,Ghost,,20,40,90,30,90,25
421,356,Dusclops,3,Normal,Ghost,,40,70,130,60,130,25
422,357,Tropius,3,Normal,Grass,Flying,99,68,83,72,87,51
423,358,Chimecho,3,Normal,Psychic,,75,50,80,95,90,65
424,359,Absol,3,Normal,Dark,,65,130,60,75,60,75
425,359,Mega Absol,3,Normal,Dark,,65,150,60,115,60,115
426,360,Wynaut,3,Normal,Psychic,,95,23,48,23,48,23
427,361,Snorunt,3,Normal,Ice,,50,50,50,50,50,50
428,362,Glalie,3,Normal,Ice,,80,80,80,80,80,80
429,362,Mega Glalie,3,Normal,Ice,,80,120,80,120,80,100
430,363,Spheal,3,Normal,Ice,Water,70,40,50,55,50,25
431,364,Sealeo,3,Normal,Ice,Water,90,60,70,75,70,45
432,365,Walrein,3,Normal,Ice,Water,110,80,90,95,90,65
433,366,Clamperl,3,Normal,Water,,35,64,85,74,55,32
434,367,Huntail,3,Normal,Water,,55,104,105,94,75,52
435,368,Gorebyss,3,Normal,Water,,55,84,105,114,75,52
436,369,Relicanth,3,Normal,Water,Rock,100,90,130,45,65,55
437,370,Luvdisc,3,Normal,Water,,43,30,55,40,65,97
438,371,Bagon,3,Normal,Dragon,,45,75,60,40,30,50
439,372,Shelgon,3,Normal,Dragon,,65,95,100,60,50,50
440,373,Salamence,3,Normal,Dragon,Flying,95,135,80,110,80,100
441,373,Mega Salamence,3,Normal,Dragon,Flying,95,145,130,120,90,120
442,374,Beldum,3,Normal,Steel,Psychic,40,55,80,35,60,30
443,375,Metang,3,Normal,Steel,Psychic,60,75,100,55,80,50
444,376,Metagross,3,Normal,Steel,Psychic,80,135,130,95,90,70
445,376,Mega Metagross,3,Normal,Steel,Psychic,80,145,150,105,110,110
446,377,Regirock,3,Sub Legendary,Rock,,80,100,200,50,100,50
447,378,Regice,3,Sub Legendary,Ice,,80,50,100,100,200,50
448,379,Registeel,3,Sub Legendary,Steel,,80,75,150,75,150,50
449,380,Latias,3,Sub Legendary,Dragon,Psychic,80,80,90,110,130,110
450,380,Mega Latias,3,Sub Legendary,Dragon,Psychic,80,100,120,140,150,110
451,381,Latios,3,Sub Legendary,Dragon,Psychic,80,90,80,130,110,110
452,381,Mega Latios,3,Sub Legendary,Dragon,Psychic,80,130,100,160,120,110
453,382,Kyogre,3,Legendary,Water,,100,100,90,150,140,90
454,382,Primal Kyogre,3,Legendary,Water,,100,150,90,180,160,90
455,383,Groudon,3,Legendary,Ground,,100,150,140,100,90,90
456,383,Primal Groudon,3,Legendary,Ground,Fire,100,180,160,150,90,90
457,384,Rayquaza,3,Legendary,Dragon,Flying,105,150,90,150,90,95
458,384,Mega Rayquaza,3,Legendary,Dragon,Flying,105,180,100,180,100,115
459,385,Jirachi,3,Mythical,Steel,Psychic,100,100,100,100,100,100
460,386,Deoxys Normal Forme,3,Mythical,Psychic,,50,150,50,150,50,150
461,386,Deoxys Attack Forme,3,Mythical,Psychic,,50,180,20,180,20,150
462,386,Deoxys Defense Forme,3,Mythical,Psychic,,50,70,160,70,160,90
463,386,Deoxys Speed Forme,3,Mythical,Psychic,,50,95,90,95,90,180
464,387,Turtwig,4,Normal,Grass,,55,68,64,45,55,31
465,388,Grotle,4,Normal,Grass,,75,89,85,55,65,36
466,389,Torterra,4,Normal,Grass,Ground,95,109,105,75,85,56
467,390,Chimchar,4,Normal,Fire,,44,58,44,58,44,61
468,391,Monferno,4,Normal,Fire,Fighting,64,78,52,78,52,81
469,392,Infernape,4,Normal,Fire,Fighting,76,104,71,104,71,108
470,393,Piplup,4,Normal,Water,,53,51,53,61,56,40
471,394,Prinplup,4,Normal,Water,,64,66,68,81,76,50
472,395,Empoleon,4,Normal,Water,Steel,84,86,88,111,101,60
473,396,Starly,4,Normal,Normal,Flying,40,55,30,30,30,60
474,397,Staravia,4,Normal,Normal,Flying,55,75,50,40,40,80
475,398,Staraptor,4,Normal,Normal,Flying,85,120,70,50,60,100
476,399,Bidoof,4,Normal,Normal,,59,45,40,35,40,31
477,400,Bibarel,4,Normal,Normal,Water,79,85,60,55,60,71
478,401,Kricketot,4,Normal,Bug,,37,25,41,25,41,25
479,402,Kricketune,4,Normal,Bug,,77,85,51,55,51,65
480,403,Shinx,4,Normal,Electric,,45,65,34,40,34,45
481,404,Luxio,4,Normal,Electric,,60,85,49,60,49,60
482,405,Luxray,4,Normal,Electric,,80,120,79,95,79,70
483,406,Budew,4,Normal,Grass,Poison,40,30,35,50,70,55
484,407,Roserade,4,Normal,Grass,Poison,60,70,65,125,105,90
485,408,Cranidos,4,Normal,Rock,,67,125,40,30,30,58
486,409,Rampardos,4,Normal,Rock,,97,165,60,65,50,58
487,410,Shieldon,4,Normal,Rock,Steel,30,42,118,42,88,30
488,411,Bastiodon,4,Normal,Rock,Steel,60,52,168,47,138,30
489,412,Burmy,4,Normal,Bug,,40,29,45,29,45,36
490,413,Wormadam Plant Cloak,4,Normal,Bug,Grass,60,59,85,79,105,36
491,413,Wormadam Sandy Cloak,4,Normal,Bug,Ground,60,79,105,59,85,36
492,413,Wormadam Trash Cloak,4,Normal,Bug,Steel,60,69,95,69,95,36
493,414,Mothim,4,Normal,Bug,Flying,70,94,50,94,50,66
494,415,Combee,4,Normal,Bug,Flying,30,30,42,30,42,70
495,416,Vespiquen,4,Normal,Bug,Flying,70,80,102,80,102,40
496,417,Pachirisu,4,Normal,Electric,,60,45,70,45,90,95
497,418,Buizel,4,Normal,Water,,55,65,35,60,30,85
498,419,Floatzel,4,Normal,Water,,85,105,55,85,50,115
499,420,Cherubi,4,Normal,Grass,,45,35,45,62,53,35
500,421,Cherrim,4,Normal,Grass,,70,60,70,87,78,85
501,422,Shellos,4,Normal,Water,,76,48,48,57,62,34
502,423,Gastrodon,4,Normal,Water,Ground,111,83,68,92,82,39
503,424,Ambipom,4,Normal,Normal,,75,100,66,60,66,115
504,425,Drifloon,4,Normal,Ghost,Flying,90,50,34,60,44,70
505,426,Drifblim,4,Normal,Ghost,Flying,150,80,44,90,54,80
506,427,Buneary,4,Normal,Normal,,55,66,44,44,56,85
507,428,Lopunny,4,Normal,Normal,,65,76,84,54,96,105
508,428,Mega Lopunny,4,Normal,Normal,Fighting,65,136,94,54,96,135
509,429,Mismagius,4,Normal,Ghost,,60,60,60,105,105,105
510,430,Honchkrow,4,Normal,Dark,Flying,100,125,52,105,52,71
511,431,Glameow,4,Normal,Normal,,49,55,42,42,37,85
512,432,Purugly,4,Normal,Normal,,71,82,64,64,59,112
513,433,Chingling,4,Normal,Psychic,,45,30,50,65,50,45
514,434,Stunky,4,Normal,Poison,Dark,63,63,47,41,41,74
515,435,Skuntank,4,Normal,Poison,Dark,103,93,67,71,61,84
516,436,Bronzor,4,Normal,Steel,Psychic,57,24,86,24,86,23
517,437,Bronzong,4,Normal,Steel,Psychic,67,89,116,79,116,33
518,438,Bonsly,4,Normal,Rock,,50,80,95,10,45,10
519,439,Mime Jr.,4,Normal,Psychic,Fairy,20,25,45,70,90,60
520,440,Happiny,4,Normal,Normal,,100,5,5,15,65,30
521,441,Chatot,4,Normal,Normal,Flying,76,65,45,92,42,91
522,442,Spiritomb,4,Normal,Ghost,Dark,50,92,108,92,108,35
523,443,Gible,4,Normal,Dragon,Ground,58,70,45,40,45,42
524,444,Gabite,4,Normal,Dragon,Ground,68,90,65,50,55,82
525,445,Garchomp,4,Normal,Dragon,Ground,108,130,95,80,85,102
526,445,Mega Garchomp,4,Normal,Dragon,Ground,108,170,115,120,95,92
527,446,Munchlax,4,Normal,Normal,,135,85,40,40,85,5
528,447,Riolu,4,Normal,Fighting,,40,70,40,35,40,60
529,448,Lucario,4,Normal,Fighting,Steel,70,110,70,115,70,90
530,448,Mega Lucario,4,Normal,Fighting,Steel,70,145,88,140,70,112
531,449,Hippopotas,4,Normal,Ground,,68,72,78,38,42,32
532,450,Hippowdon,4,Normal,Ground,,108,112,118,68,72,47
533,451,Skorupi,4,Normal,Poison,Bug,40,50,90,30,55,65
534,452,Drapion,4,Normal,Poison,Dark,70,90,110,60,75,95
535,453,Croagunk,4,Normal,Poison,Fighting,48,61,40,61,40,50
536,454,Toxicroak,4,Normal,Poison,Fighting,83,106,65,86,65,85
537,455,Carnivine,4,Normal,Grass,,74,100,72,90,72,46
538,456,Finneon,4,Normal,Water,,49,49,56,49,61,66
539,457,Lumineon,4,Normal,Water,,69,69,76,69,86,91
540,458,Mantyke,4,Normal,Water,Flying,45,20,50,60,120,50
541,459,Snover,4,Normal,Grass,Ice,60,62,50,62,60,40
542,460,Abomasnow,4,Normal,Grass,Ice,90,92,75,92,85,60
543,460,Mega Abomasnow,4,Normal,Grass,Ice,90,132,105,132,105,30
544,461,Weavile,4,Normal,Dark,Ice,70,120,65,45,85,125
545,462,Magnezone,4,Normal,Electric,Steel,70,70,115,130,90,60
546,463,Lickilicky,4,Normal,Normal,,110,85,95,80,95,50
547,464,Rhyperior,4,Normal,Ground,Rock,115,140,130,55,55,40
548,465,Tangrowth,4,Normal,Grass,,100,100,125,110,50,50
549,466,Electivire,4,Normal,Electric,,75,123,67,95,85,95
550,467,Magmortar,4,Normal,Fire,,75,95,67,125,95,83
551,468,Togekiss,4,Normal,Fairy,Flying,85,50,95,120,115,80
552,469,Yanmega,4,Normal,Bug,Flying,86,76,86,116,56,95
553,470,Leafeon,4,Normal,Grass,,65,110,130,60,65,95
554,471,Glaceon,4,Normal,Ice,,65,60,110,130,95,65
555,472,Gliscor,4,Normal,Ground,Flying,75,95,125,45,75,95
556,473,Mamoswine,4,Normal,Ice,Ground,110,130,80,70,60,80
557,474,Porygon-Z,4,Normal,Normal,,85,80,70,135,75,90
558,475,Gallade,4,Normal,Psychic,Fighting,68,125,65,65,115,80
559,475,Mega Gallade,4,Normal,Psychic,Fighting,68,165,95,65,115,110
560,476,Probopass,4,Normal,Rock,Steel,60,55,145,75,150,40
561,477,Dusknoir,4,Normal,Ghost,,45,100,135,65,135,45
562,478,Froslass,4,Normal,Ice,Ghost,70,80,70,80,70,110
563,479,Rotom,4,Normal,Electric,Ghost,50,50,77,95,77,91
564,479,Heat Rotom,4,Normal,Electric,Fire,50,65,107,105,107,86
565,479,Wash Rotom,4,Normal,Electric,Water,50,65,107,105,107,86
566,479,Frost Rotom,4,Normal,Electric,Ice,50,65,107,105,107,86
567,479,Fan Rotom,4,Normal,Electric,Flying,50,65,107,105,107,86
568,479,Mow Rotom,4,Normal,Electric,Grass,50,65,107,105,107,86
569,480,Uxie,4,Sub Legendary,Psychic,,75,75,130,75,130,95
570,481,Mesprit,4,Sub Legendary,Psychic,,80,105,105,105,105,80
571,482,Azelf,4,Sub Legendary,Psychic,,75,125,70,125,70,115
572,483,Dialga,4,Legendary,Steel,Dragon,100,120,120,150,100,90
573,484,Palkia,4,Legendary,Water,Dragon,90,120,100,150,120,100
574,485,Heatran,4,Sub Legendary,Fire,Steel,91,90,106,130,106,77
575,486,Regigigas,4,Sub Legendary,Normal,,110,160,110,80,110,100
576,487,Giratina Altered Forme,4,Legendary,Ghost,Dragon,150,100,120,100,120,90
577,487,Giratina Origin Forme,4,Legendary,Ghost,Dragon,150,120,100,120,100,90
578,488,Cresselia,4,Sub Legendary,Psychic,,120,70,120,75,130,85
579,489,Phione,4,Mythical,Water,,80,80,80,80,80,80
580,490,Manaphy,4,Mythical,Water,,100,100,100,100,100,100
581,491,Darkrai,4,Mythical,Dark,,70,90,90,135,90,125
582,492,Shaymin Land Forme,4,Mythical,Grass,,100,100,100,100,100,100
583,492,Shaymin Sky Forme,4,Mythical,Grass,Flying,100,103,75,120,75,127
584,493,Arceus,4,Mythical,Normal,,120,120,120,120,120,120
585,494,Victini,5,Mythical,Psychic,Fire,100,100,100,100,100,100
586,495,Snivy,5,Normal,Grass,,45,45,55,45,55,63
587,496,Servine,5,Normal,Grass,,60,60,75,60,75,83
588,497,Serperior,5,Normal,Grass,,75,75,95,75,95,113
589,498,Tepig,5,Normal,Fire,,65,63,45,45,45,45
590,499,Pignite,5,Normal,Fire,Fighting,90,93,55,70,55,55
591,500,Emboar,5,Normal,Fire,Fighting,110,123,65,100,65,65
592,501,Oshawott,5,Normal,Water,,55,55,45,63,45,45
593,502,Dewott,5,Normal,Water,,75,75,60,83,60,60
594,503,Samurott,5,Normal,Water,,95,100,85,108,70,70
595,504,Patrat,5,Normal,Normal,,45,55,39,35,39,42
596,505,Watchog,5,Normal,Normal,,60,85,69,60,69,77
597,506,Lillipup,5,Normal,Normal,,45,60,45,25,45,55
598,507,Herdier,5,Normal,Normal,,65,80,65,35,65,60
599,508,Stoutland,5,Normal,Normal,,85,110,90,45,90,80
600,509,Purrloin,5,Normal,Dark,,41,50,37,50,37,66
601,510,Liepard,5,Normal,Dark,,64,88,50,88,50,106
602,511,Pansage,5,Normal,Grass,,50,53,48,53,48,64
603,512,Simisage,5,Normal,Grass,,75,98,63,98,63,101
604,513,Pansear,5,Normal,Fire,,50,53,48,53,48,64
605,514,Simisear,5,Normal,Fire,,75,98,63,98,63,101
606,515,Panpour,5,Normal,Water,,50,53,48,53,48,64
607,516,Simipour,5,Normal,Water,,75,98,63,98,63,101
608,517,Munna,5,Normal,Psychic,,76,25,45,67,55,24
609,518,Musharna,5,Normal,Psychic,,116,55,85,107,95,29
610,519,Pidove,5,Normal,Normal,Flying,50,55,50,36,30,43
611,520,Tranquill,5,Normal,Normal,Flying,62,77,62,50,42,65
612,521,Unfezant,5,Normal,Normal,Flying,80,115,80,65,55,93
613,522,Blitzle,5,Normal,Electric,,45,60,32,50,32,76
614,523,Zebstrika,5,Normal,Electric,,75,100,63,80,63,116
615,524,Roggenrola,5,Normal,Rock,,55,75,85,25,25,15
616,525,Boldore,5,Normal,Rock,,70,105,105,50,40,20
617,526,Gigalith,5,Normal,Rock,,85,135,130,60,80,25
618,527,Woobat,5,Normal,Psychic,Flying,65,45,43,55,43,72
619,528,Swoobat,5,Normal,Psychic,Flying,67,57,55,77,55,114
620,529,Drilbur,5,Normal,Ground,,60,85,40,30,45,68
621,530,Excadrill,5,Normal,Ground,Steel,110,135,60,50,65,88
622,531,Audino,5,Normal,Normal,,103,60,86,60,86,50
623,531,Mega Audino,5,Normal,Normal,Fairy,103,60,126,80,126,50
624,532,Timburr,5,Normal,Fighting,,75,80,55,25,35,35
625,533,Gurdurr,5,Normal,Fighting,,85,105,85,40,50,40
626,534,Conkeldurr,5,Normal,Fighting,,105,140,95,55,65,45
627,535,Tympole,5,Normal,Water,,50,50,40,50,40,64
628,536,Palpitoad,5,Normal,Water,Ground,75,65,55,65,55,69
629,537,Seismitoad,5,Normal,Water,Ground,105,95,75,85,75,74
630,538,Throh,5,Normal,Fighting,,120,100,85,30,85,45
631,539,Sawk,5,Normal,Fighting,,75,125,75,30,75,85
632,540,Sewaddle,5,Normal,Bug,Grass,45,53,70,40,60,42
633,541,Swadloon,5,Normal,Bug,Grass,55,63,90,50,80,42
634,542,Leavanny,5,Normal,Bug,Grass,75,103,80,70,80,92
635,543,Venipede,5,Normal,Bug,Poison,30,45,59,30,39,57
636,544,Whirlipede,5,Normal,Bug,Poison,40,55,99,40,79,47
637,545,Scolipede,5,Normal,Bug,Poison,60,100,89,55,69,112
638,546,Cottonee,5,Normal,Grass,Fairy,40,27,60,37,50,66
639,547,Whimsicott,5,Normal,Grass,Fairy,60,67,85,77,75,116
640,548,Petilil,5,Normal,Grass,,45,35,50,70,50,30
641,549,Lilligant,5,Normal,Grass,,70,60,75,110,75,90
642,550,Basculin Red-Striped Form,5,Normal,Water,,70,92,65,80,55,98
643,550,Basculin Blue-Striped Form,5,Normal,Water,,70,92,65,80,55,98
644,551,Sandile,5,Normal,Ground,Dark,50,72,35,35,35,65
645,552,Krokorok,5,Normal,Ground,Dark,60,82,45,45,45,74
646,553,Krookodile,5,Normal,Ground,Dark,95,117,80,65,70,92
647,554,Darumaka,5,Normal,Fire,,70,90,45,15,45,50
648,554,Galarian Darumaka,5,Normal,Ice,,70,90,45,15,45,50
649,555,Darmanitan Standard Mode,5,Normal,Fire,,105,140,55,30,55,95
650,555,Darmanitan Zen Mode,5,Normal,Fire,Psychic,105,30,105,140,105,55
651,555,Darmanitan Galarian Standard Mode,5,Normal,Ice,,105,140,55,30,55,95
652,555,Darmanitan Galarian Zen Mode,5,Normal,Ice,Fire,105,160,55,30,55,135
653,556,Maractus,5,Normal,Grass,,75,86,67,106,67,60
654,557,Dwebble,5,Normal,Bug,Rock,50,65,85,35,35,55
655,558,Crustle,5,Normal,Bug,Rock,70,105,125,65,75,45
656,559,Scraggy,5,Normal,Dark,Fighting,50,75,70,35,70,48
657,560,Scrafty,5,Normal,Dark,Fighting,65,90,115,45,115,58
658,561,Sigilyph,5,Normal,Psychic,Flying,72,58,80,103,80,97
659,562,Yamask,5,Normal,Ghost,,38,30,85,55,65,30
660,562,Galarian Yamask,5,Normal,Ground,Ghost,38,55,85,30,65,30
661,563,Cofagrigus,5,Normal,Ghost,,58,50,145,95,105,30
662,564,Tirtouga,5,Normal,Water,Rock,54,78,103,53,45,22
663,565,Carracosta,5,Normal,Water,Rock,74,108,133,83,65,32
664,566,Archen,5,Normal,Rock,Flying,55,112,45,74,45,70
665,567,Archeops,5,Normal,Rock,Flying,75,140,65,112,65,110
666,568,Trubbish,5,Normal,Poison,,50,50,62,40,62,65
667,569,Garbodor,5,Normal,Poison,,80,95,82,60,82,75
668,570,Zorua,5,Normal,Dark,,40,65,40,80,40,65
669,571,Zoroark,5,Normal,Dark,,60,105,60,120,60,105
670,572,Minccino,5,Normal,Normal,,55,50,40,40,40,75
671,573,Cinccino,5,Normal,Normal,,75,95,60,65,60,115
672,574,Gothita,5,Normal,Psychic,,45,30,50,55,65,45
673,575,Gothorita,5,Normal,Psychic,,60,45,70,75,85,55
674,576,Gothitelle,5,Normal,Psychic,,70,55,95,95,110,65
675,577,Solosis,5,Normal,Psychic,,45,30,40,105,50,20
676,578,Duosion,5,Normal,Psychic,,65,40,50,125,60,30
677,579,Reuniclus,5,Normal,Psychic,,110,65,75,125,85,30
678,580,Ducklett,5,Normal,Water,Flying,62,44,50,44,50,55
679,581,Swanna,5,Normal,Water,Flying,75,87,63,87,63,98
680,582,Vanillite,5,Normal,Ice,,36,50,50,65,60,44
681,583,Vanillish,5,Normal,Ice,,51,65,65,80,75,59
682,584,Vanilluxe,5,Normal,Ice,,71,95,85,110,95,79
683,585,Deerling,5,Normal,Normal,Grass,60,60,50,40,50,75
684,586,Sawsbuck,5,Normal,Normal,Grass,80,100,70,60,70,95
685,587,Emolga,5,Normal,Electric,Flying,55,75,60,75,60,103
686,588,Karrablast,5,Normal,Bug,,50,75,45,40,45,60
687,589,Escavalier,5,Normal,Bug,Steel,70,135,105,60,105,20
688,590,Foongus,5,Normal,Grass,Poison,69,55,45,55,55,15
689,591,Amoonguss,5,Normal,Grass,Poison,114,85,70,85,80,30
690,592,Frillish,5,Normal,Water,Ghost,55,40,50,65,85,40
691,593,Jellicent,5,Normal,Water,Ghost,100,60,70,85,105,60
692,594,Alomomola,5,Normal,Water,,165,75,80,40,45,65
693,595,Joltik,5,Normal,Bug,Electric,50,47,50,57,50,65
694,596,Galvantula,5,Normal,Bug,Electric,70,77,60,97,60,108
695,597,Ferroseed,5,Normal,Grass,Steel,44,50,91,24,86,10
696,598,Ferrothorn,5,Normal,Grass,Steel,74,94,131,54,116,20
697,599,Klink,5,Normal,Steel,,40,55,70,45,60,30
698,600,Klang,5,Normal,Steel,,60,80,95,70,85,50
699,601,Klinklang,5,Normal,Steel,,60,100,115,70,85,90
700,602,Tynamo,5,Normal,Electric,,35,55,40,45,40,60
701,603,Eelektrik,5,Normal,Electric,,65,85,70,75,70,40
702,604,Eelektross,5,Normal,Electric,,85,115,80,105,80,50
703,605,Elgyem,5,Normal,Psychic,,55,55,55,85,55,30
704,606,Beheeyem,5,Normal,Psychic,,75,75,75,125,95,40
705,607,Litwick,5,Normal,Ghost,Fire,50,30,55,65,55,20
706,608,Lampent,5,Normal,Ghost,Fire,60,40,60,95,60,55
707,609,Chandelure,5,Normal,Ghost,Fire,60,55,90,145,90,80
708,610,Axew,5,Normal,Dragon,,46,87,60,30,40,57
709,611,Fraxure,5,Normal,Dragon,,66,117,70,40,50,67
710,612,Haxorus,5,Normal,Dragon,,76,147,90,60,70,97
711,613,Cubchoo,5,Normal,Ice,,55,70,40,60,40,40
712,614,Beartic,5,Normal,Ice,,95,130,80,70,80,50
713,615,Cryogonal,5,Normal,Ice,,80,50,50,95,135,105
714,616,Shelmet,5,Normal,Bug,,50,40,85,40,65,25
715,617,Accelgor,5,Normal,Bug,,80,70,40,100,60,145
716,618,Stunfisk,5,Normal,Ground,Electric,109,66,84,81,99,32
717,618,Galarian Stunfisk,5,Normal,Ground,Steel,109,81,99,66,84,32
718,619,Mienfoo,5,Normal,Fighting,,45,85,50,55,50,65
719,620,Mienshao,5,Normal,Fighting,,65,125,60,95,60,105
720,621,Druddigon,5,Normal,Dragon,,77,120,90,60,90,48
721,622,Golett,5,Normal,Ground,Ghost,59,74,50,35,50,35
722,623,Golurk,5,Normal,Ground,Ghost,89,124,80,55,80,55
723,624,Pawniard,5,Normal,Dark,Steel,45,85,70,40,40,60
724,625,Bisharp,5,Normal,Dark,Steel,65,125,100,60,70,70
725,626,Bouffalant,5,Normal,Normal,,95,110,95,40,95,55
726,627,Rufflet,5,Normal,Normal,Flying,70,83,50,37,50,60
727,628,Braviary,5,Normal,Normal,Flying,100,123,75,57,75,80
728,629,Vullaby,5,Normal,Dark,Flying,70,55,75,45,65,60
729,630,Mandibuzz,5,Normal,Dark,Flying,110,65,105,55,95,80
730,631,Heatmor,5,Normal,Fire,,85,97,66,105,66,65
731,632,Durant,5,Normal,Bug,Steel,58,109,112,48,48,109
732,633,Deino,5,Normal,Dark,Dragon,52,65,50,45,50,38
733,634,Zweilous,5,Normal,Dark,Dragon,72,85,70,65,70,58
734,635,Hydreigon,5,Normal,Dark,Dragon,92,105,90,125,90,98
735,636,Larvesta,5,Normal,Bug,Fire,55,85,55,50,55,60
736,637,Volcarona,5,Normal,Bug,Fire,85,60,65,135,105,100
737,638,Cobalion,5,Sub Legendary,Steel,Fighting,91,90,129,90,72,108
738,639,Terrakion,5,Sub Legendary,Rock,Fighting,91,129,90,72,90,108
739,640,Virizion,5,Sub Legendary,Grass,Fighting,91,90,72,90,129,108
740,641,Tornadus Incarnate Forme,5,Sub Legendary,Flying,,79,115,70,125,80,111
741,641,Tornadus Therian Forme,5,Sub Legendary,Flying,,79,100,80,110,90,121
742,642,Thundurus Incarnate Forme,5,Sub Legendary,Electric,Flying,79,115,70,125,80,111
743,642,Thundurus Therian Forme,5,Sub Legendary,Electric,Flying,79,105,70,145,80,101
744,643,Reshiram,5,Legendary,Dragon,Fire,100,120,100,150,120,90
745,644,Zekrom,5,Legendary,Dragon,Electric,100,150,120,120,100,90
746,645,Landorus Incarnate Forme,5,Sub Legendary,Ground,Flying,89,125,90,115,80,101
747,645,Landorus Therian Forme,5,Sub Legendary,Ground,Flying,89,145,90,105,80,91
748,646,Kyurem,5,Legendary,Dragon,Ice,125,130,90,130,90,95
749,646,Black Kyurem,5,Legendary,Dragon,Ice,125,170,100,120,90,95
750,646,White Kyurem,5,Legendary,Dragon,Ice,125,120,90,170,100,95
751,647,Keldeo Ordinary Forme,5,Mythical,Water,Fighting,91,72,90,129,90,108
752,647,Keldeo Resolute Forme,5,Mythical,Water,Fighting,91,72,90,129,90,108
753,648,Meloetta Aria Forme,5,Mythical,Normal,Psychic,100,77,77,128,128,90
754,648,Meloetta Pirouette Forme,5,Mythical,Normal,Fighting,100,128,90,77,77,128
755,649,Genesect,5,Mythical,Bug,Steel,71,120,95,120,95,99
756,650,Chespin,6,Normal,Grass,,56,61,65,48,45,38
757,651,Quilladin,6,Normal,Grass,,61,78,95,56,58,57
758,652,Chesnaught,6,Normal,Grass,Fighting,88,107,122,74,75,64
759,653,Fennekin,6,Normal,Fire,,40,45,40,62,60,60
760,654,Braixen,6,Normal,Fire,,59,59,58,90,70,73
761,655,Delphox,6,Normal,Fire,Psychic,75,69,72,114,100,104
762,656,Froakie,6,Normal,Water,,41,56,40,62,44,71
763,657,Frogadier,6,Normal,Water,,54,63,52,83,56,97
764,658,Greninja,6,Normal,Water,Dark,72,95,67,103,71,122
765,658,Ash-Greninja,6,Normal,Water,Dark,72,145,67,153,71,132
766,659,Bunnelby,6,Normal,Normal,,38,36,38,32,36,57
767,660,Diggersby,6,Normal,Normal,Ground,85,56,77,50,77,78
768,661,Fletchling,6,Normal,Normal,Flying,45,50,43,40,38,62
769,662,Fletchinder,6,Normal,Fire,Flying,62,73,55,56,52,84
770,663,Talonflame,6,Normal,Fire,Flying,78,81,71,74,69,126
771,664,Scatterbug,6,Normal,Bug,,38,35,40,27,25,35
772,665,Spewpa,6,Normal,Bug,,45,22,60,27,30,29
773,666,Vivillon,6,Normal,Bug,Flying,80,52,50,90,50,89
774,667,Litleo,6,Normal,Fire,Normal,62,50,58,73,54,72
775,668,Pyroar,6,Normal,Fire,Normal,86,68,72,109,66,106
776,669,Flabébé,6,Normal,Fairy,,44,38,39,61,79,42
777,670,Floette,6,Normal,Fairy,,54,45,47,75,98,52
778,671,Florges,6,Normal,Fairy,,78,65,68,112,154,75
779,672,Skiddo,6,Normal,Grass,,66,65,48,62,57,52
780,673,Gogoat,6,Normal,Grass,,123,100,62,97,81,68
781,674,Pancham,6,Normal,Fighting,,67,82,62,46,48,43
782,675,Pangoro,6,Normal,Fighting,Dark,95,124,78,69,71,58
783,676,Furfrou,6,Normal,Normal,,75,80,60,65,90,102
784,677,Espurr,6,Normal,Psychic,,62,48,54,63,60,68
785,678,Meowstic Male,6,Normal,Psychic,,74,48,76,83,81,104
786,678,Meowstic Female,6,Normal,Psychic,,74,48,76,83,81,104
787,679,Honedge,6,Normal,Steel,Ghost,45,80,100,35,37,28
788,680,Doublade,6,Normal,Steel,Ghost,59,110,150,45,49,35
789,681,Aegislash Blade Forme,6,Normal,Steel,Ghost,60,150,50,150,50,60
