HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Common name,Femalematurity,Malematurity,Gestation,LitterSize,Adultweight,Maximumlongevity
3008,Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,sipedon,Animalia.Chordata.Reptilia.Squamata.Colubridae.Nerodia.sipedon,Northern water snake,730,730,,,,9.6
626,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,palustris,Animalia.Chordata.Aves.Passeriformes.Acrocephalidae.Acrocephalus.palustris,Marsh warbler,365,365,,,11.5,9.8
828,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,luscinioides,Animalia.Chordata.Aves.Passeriformes.Locustellidae.Locustella.luscinioides,Savi's warbler,365,365,,,13.9,9.8
854,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,albicollis,Animalia.Chordata.Aves.Passeriformes.Muscicapidae.Ficedula.albicollis,Collared flycatcher,365,365,,,12.7,9.8
957,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,carolinensis,Animalia.Chordata.Aves.Passeriformes.Sittidae.Sitta.carolinensis,White-breasted nuthatch,365,365,12,8,20.5,9.8
1096,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,minor,Animalia.Chordata.Aves.Piciformes.Picidae.Dendrocopos.minor,Lesser spotted woodpecker,365,365,,,19.8,9.8
777,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pinicola,enucleator,Animalia.Chordata.Aves.Passeriformes.Fringillidae.Pinicola.enucleator,Pine grosbeak,365,365,13,4,65.3,9.8
649,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,amoena,Animalia.Chordata.Aves.Passeriformes.Cardinalidae.Passerina.amoena,Lazuli bunting,365,365,12,4,15.15,9.9
902,Animalia,Chordata,Aves,Passeriformes,Parulidae,Limnothlypis,swainsonii,Animalia.Chordata.Aves.Passeriformes.Parulidae.Limnothlypis.swainsonii,Swainson's warbler,365,365,14,3,13.5,9.9
2005,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Animalia.Chordata.Mammalia.Chiroptera.Pteropodidae.Haplonycteris.fischeri,Philippine pygmy fruit bat,120,315,90,1,18,10
1103,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,erythrocephalus,Animalia.Chordata.Aves.Piciformes.Picidae.Melanerpes.erythrocephalus,Red-headed woodpecker,365,365,14,5,75,10
701,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,caudacutus,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Ammodramus.caudacutus,Saltmarsh sharp-tailed sparrow,365,365,11,4,16.5,10
373,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,montanus,Animalia.Chordata.Aves.Charadriiformes.Charadriidae.Charadrius.montanus,Mountain plover,365,365,,6,100,10
694,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,nuttalli,Animalia.Chordata.Aves.Passeriformes.Corvidae.Pica.nuttalli,Yellow-billed magpie,365,365,18,6.5,159,10
794,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,riparia,Animalia.Chordata.Aves.Passeriformes.Hirundinidae.Riparia.riparia,Bank swallow,365,365,15,4,12.7,10
818,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,neglecta,Animalia.Chordata.Aves.Passeriformes.Icteridae.Sturnella.neglecta,Western meadowlark,365,365,14,3,85,10
911,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,caerulescens,Animalia.Chordata.Aves.Passeriformes.Parulidae.Setophaga.caerulescens,Black-throated blue warbler,365,365,13,4,10.2,10
1100,Animalia,Chordata,Aves,Piciformes,Picidae,Jynx,torquilla,Animalia.Chordata.Aves.Piciformes.Picidae.Jynx.torquilla,Eurasian wryneck,365,365,,,35,10
3862,Animalia,Chordata,Teleostei,Perciformes,Lutjanidae,Lutjanus,synagris,Animalia.Chordata.Teleostei.Perciformes.Lutjanidae.Lutjanus.synagris,Lane snapper,730,365,,,1941.5,10
2000,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus,sphinx,Animalia.Chordata.Mammalia.Chiroptera.Pteropodidae.Cynopterus.sphinx,Greater short-nosed fruit bat,150,525,120,1.2,75,10
772,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxops,coccineus,Animalia.Chordata.Aves.Passeriformes.Fringillidae.Loxops.coccineus,Akepa,365,730,15,1.5,10.4,10
89,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Animalia.Chordata.Amphibia.Anura.Ranidae.Lithobates.clamitans,Green frog,730,730,,4000,,10
110,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Animalia.Chordata.Amphibia.Caudata.Ambystomatidae.Ambystoma.macrodactylum,Long-toed salamander,730,730,40,250,,10
358,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Animalia.Chordata.Aves.Charadriiformes.Alcidae.Brachyramphus.marmoratus,Marbled murrelet,730,730,,,222,10
945,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Quelea,quelea,Animalia.Chordata.Aves.Passeriformes.Ploceidae.Quelea.quelea,Red-billed quelea,730,730,,,17.5,10
3711,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Osmerus,eperlanus,Animalia.Chordata.Teleostei.Osmeriformes.Osmeridae.Osmerus.eperlanus,Smelt,730,730,,,,10
3878,Animalia,Chordata,Teleostei,Perciformes,Mullidae,Mullus,surmuletus,Animalia.Chordata.Teleostei.Perciformes.Mullidae.Mullus.surmuletus,Red mullet,730,730,,,550,10
4075,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,albula,Animalia.Chordata.Teleostei.Salmoniformes.Salmonidae.Coregonus.albula,Vendace,730,730,,,550,10
4194,Animalia,Chordata,Teleostei,Siluriformes,Ictaluridae,Ameiurus,melas,Animalia.Chordata.Teleostei.Siluriformes.Ictaluridae.Ameiurus.melas,Black bullhead,730,730,7,3150,1995.5,10
1439,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,manazo,Animalia.Chordata.Chondrichthyes.Carcharhiniformes.Triakidae.Mustelus.manazo,Starspotted smooth-hound,1085,772,,7.5,3146,10
3441,Animalia,Chordata,Teleostei,Beloniformes,Hemiramphidae,Hyporhamphus,melanochir,Animalia.Chordata.Teleostei.Beloniformes.Hemiramphidae.Hyporhamphus.melanochir,Dusky sea garfish,912,912,,,330,10
3725,Animalia,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,marinus,Animalia.Chordata.Teleostei.Perciformes.Ammodytidae.Ammodytes.marinus,Sand eel,912,912,,,,10
3808,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Gobius,paganellus,Animalia.Chordata.Teleostei.Perciformes.Gobiidae.Gobius.paganellus,Rock goby,912,912,,,,10
3551,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Labeo,rohita,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Labeo.rohita,Rohu,1073,985,,,24750,10
3797,Animalia,Chordata,Teleostei,Perciformes,Gempylidae,Thyrsites,atun,Animalia.Chordata.Teleostei.Perciformes.Gempylidae.Thyrsites.atun,Atun,1003,1003,,,3300,10
3516,Animalia,Chordata,Teleostei,Cypriniformes,Catostomidae,Moxostoma,duquesnii,Animalia.Chordata.Teleostei.Cypriniformes.Catostomidae.Moxostoma.duquesnii,Black redhorse,1095,1095,,,1250,10
3710,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,villosus,Animalia.Chordata.Teleostei.Osmeriformes.Osmeridae.Mallotus.villosus,Capelin,1095,1095,,,,10
3868,Animalia,Chordata,Teleostei,Perciformes,Lutjanidae,Rhomboplites,aurorubens,Animalia.Chordata.Teleostei.Perciformes.Lutjanidae.Rhomboplites.aurorubens,Vermilion snapper,1095,1095,,,1743.5,10
4090,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,clarkii,Animalia.Chordata.Teleostei.Salmoniformes.Salmonidae.Oncorhynchus.clarkii,Cutthroat trout,1095,1095,,,10230,10
3697,Animalia,Chordata,Teleostei,Mugiliformes,Mugilidae,Liza,ramado,Animalia.Chordata.Teleostei.Mugiliformes.Mugilidae.Liza.ramado,Thinlip mullet,1277,1277,,,1595,10
4084,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,pollan,Animalia.Chordata.Teleostei.Salmoniformes.Salmonidae.Coregonus.pollan,Irish pollan,1277,1277,,,247.5,10
3457,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,alosa,Animalia.Chordata.Teleostei.Clupeiformes.Clupeidae.Alosa.alosa,Alice shad,1642,1277,,,2200,10
3885,Animalia,Chordata,Teleostei,Perciformes,Nototheniidae,Trematomus,bernacchii,Animalia.Chordata.Teleostei.Perciformes.Nototheniidae.Trematomus.bernacchii,Emerald rockcod,2007,1277,,,,10
1392,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,fluviatilis,Animalia.Chordata.Cephalaspidomorphi.Petromyzontiformes.Petromyzontidae.Lampetra.fluviatilis,European river lamprey,2250,2250,,,82.5,10
1999,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Animalia.Chordata.Mammalia.Chiroptera.Pteropodidae.Cynopterus.brachyotis,Lesser short-nosed fruit bat,213,213,112,1,45,10.1
622,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,arundinaceus,Animalia.Chordata.Aves.Passeriformes.Acrocephalidae.Acrocephalus.arundinaceus,Great reed-warbler,365,365,,,30,10.1
636,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,arvensis,Animalia.Chordata.Aves.Passeriformes.Alaudidae.Alauda.arvensis,Eurasian skylark,365,365,11,3,37.5,10.1
820,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,collurio,Animalia.Chordata.Aves.Passeriformes.Laniidae.Lanius.collurio,Red-backed shrike,365,365,,,28.4,10.1
861,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,oenanthe,Animalia.Chordata.Aves.Passeriformes.Muscicapidae.Oenanthe.oenanthe,Northern wheatear,365,365,14,,25,10.1
882,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,gambeli,Animalia.Chordata.Aves.Passeriformes.Paridae.Poecile.gambeli,Mountain chickadee,365,365,14,7,11.5,10.1
887,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,sclateri,Animalia.Chordata.Aves.Passeriformes.Paridae.Poecile.sclateri,Mexican chickadee,365,365,,6,11,10.1
927,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,ruticilla,Animalia.Chordata.Aves.Passeriformes.Parulidae.Setophaga.ruticilla,American redstart,365,365,12,4,8.5,10.1
985,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,fuscescens,Animalia.Chordata.Aves.Passeriformes.Turdidae.Catharus.fuscescens,Veery,365,365,11,4,28.8,10.1
2209,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudocheirus,peregrinus,Animalia.Chordata.Mammalia.Diprotodontia.Pseudocheiridae.Pseudocheirus.peregrinus,Ring-tailed possum,365,365,,2,850,10.1
1816,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Conepatus,leuconotus,Animalia.Chordata.Mammalia.Carnivora.Mephitidae.Conepatus.leuconotus,Hog-nosed skunk,319,319,56,3.4,1900,10.2
941,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,sibillatrix,Animalia.Chordata.Aves.Passeriformes.Phylloscopidae.Phylloscopus.sibillatrix,Wood warbler,365,365,,,9.2,10.2
650,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,caerulea,Animalia.Chordata.Aves.Passeriformes.Cardinalidae.Passerina.caerulea,Blue grosbeak,365,365,11,4,28.4,10.2
862,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,ochruros,Animalia.Chordata.Aves.Passeriformes.Muscicapidae.Phoenicurus.ochruros,Black redstart,365,365,,,16.5,10.2
863,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,phoenicurus,Animalia.Chordata.Aves.Passeriformes.Muscicapidae.Phoenicurus.phoenicurus,Common redstart,365,365,,,14.6,10.2
900,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,ruficapilla,Animalia.Chordata.Aves.Passeriformes.Parulidae.Leiothlypis.ruficapilla,Nashville warbler,365,365,11,4,7.5,10.2
926,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,pinus,Animalia.Chordata.Aves.Passeriformes.Parulidae.Setophaga.pinus,Pine warbler,365,365,13,4,11.8,10.2
989,Animalia,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,mustelina,Animalia.Chordata.Aves.Passeriformes.Turdidae.Hylocichla.mustelina,Wood thrush,365,365,13,3,43.3,10.2
1033,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,olivaceus,Animalia.Chordata.Aves.Passeriformes.Vireonidae.Vireo.olivaceus,Red-eyed vireo,365,365,12,3.5,17,10.2
108,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Animalia.Chordata.Amphibia.Caudata.Ambystomatidae.Ambystoma.gracile,Northwestern salamander,730,730,,150,,10.2
1423,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,terraenovae,Animalia.Chordata.Chondrichthyes.Carcharhiniformes.Carcharhinidae.Rhizoprionodon.terraenovae,Atlantic sharpnose shark,948,803,,4.4,3987.5,10.2
2146,Animalia,Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,nanus,Animalia.Chordata.Mammalia.Diprotodontia.Burramyidae.Cercartetus.nanus,Eastern pygmy possum,190,190,,4,40,10.3
737,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,pusilla,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Spizella.pusilla,Field sparrow,365,365,12,4,12.5,10.3
2826,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,erythropus,Animalia.Chordata.Mammalia.Rodentia.Sciuridae.Xerus.erythropus,Striped ground squirrel,365,365,71,3.5,600,10.3
1209,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,versicolurus,Animalia.Chordata.Aves.Psittaciformes.Psittacidae.Brotogeris.versicolurus,Canary-winged parakeet,730,730,25,5,71.6,10.3
830,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,cyaneus,Animalia.Chordata.Aves.Passeriformes.Maluridae.Malurus.cyaneus,Superb fairywren,365,365,,,10.4,10.4
2539,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,lepida,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Neotoma.lepida,Desert woodrat,76,76,33,3,236,10.5
1819,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,putorius,Animalia.Chordata.Mammalia.Carnivora.Mephitidae.Spilogale.putorius,Eastern spotted skunk,152,152,31,5,600,10.5
993,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,sialis,Animalia.Chordata.Aves.Passeriformes.Turdidae.Sialia.sialis,Eastern bluebird,306,321,14,4,30.5,10.5
740,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,atricapilla,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Zonotrichia.atricapilla,Golden-crowned sparrow,365,365,12,4,31.55,10.5
663,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,cinclus,Animalia.Chordata.Aves.Passeriformes.Cinclidae.Cinclus.cinclus,White-throated dipper,365,365,,,61.7,10.6
713,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,calandra,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Emberiza.calandra,Corn bunting,365,365,,,48.8,10.6
3035,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sauritus,Animalia.Chordata.Reptilia.Squamata.Colubridae.Thamnophis.sauritus,Eastern ribbon snake,730,730,,14,,10.6
158,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Speleomantes,italicus,Animalia.Chordata.Amphibia.Caudata.Plethodontidae.Speleomantes.italicus,Italian cave salamander,1278,1278,304,10,,10.6
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Animalia.Chordata.Amphibia.Anura.Bufonidae.Anaxyrus.cognatus,Great plains toad,730,730,4,11074,,10.7
631,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,icterina,Animalia.Chordata.Aves.Passeriformes.Acrocephalidae.Hippolais.icterina,Icterine warbler,365,365,,,13.2,10.8
738,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizelloides,arborea,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Spizelloides.arborea,American tree sparrow,365,365,12,4,16.6,10.8
836,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,curvirostre,Animalia.Chordata.Aves.Passeriformes.Mimidae.Toxostoma.curvirostre,Curve-billed thrasher,365,365,13,3,80.65,10.8
986,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,guttatus,Animalia.Chordata.Aves.Passeriformes.Turdidae.Catharus.guttatus,Hermit thrush,365,365,12,4,27.8,10.8
2503,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagostomus,maximus,Animalia.Chordata.Mammalia.Rodentia.Chinchillidae.Lagostomus.maximus,Plains viscacha,258,456,154,2,6000,10.8
354,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,cristatella,Animalia.Chordata.Aves.Charadriiformes.Alcidae.Aethia.cristatella,Crested auklet,1095,1095,34,1,289,10.8
376,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,vociferus,Animalia.Chordata.Aves.Charadriiformes.Charadriidae.Charadrius.vociferus,Killdeer,365,365,24,4,88,10.9
550,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,naumanni,Animalia.Chordata.Aves.Falconiformes.Falconidae.Falco.naumanni,Lesser kestrel,365,365,,,152.5,10.9
843,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,petrosus,Animalia.Chordata.Aves.Passeriformes.Motacillidae.Anthus.petrosus,Rock pipit,365,365,,,22.4,10.9
857,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,megarhynchos,Animalia.Chordata.Aves.Passeriformes.Muscicapidae.Luscinia.megarhynchos,Common nightingale,365,365,,,19.7,10.9
880,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,carolinensis,Animalia.Chordata.Aves.Passeriformes.Paridae.Poecile.carolinensis,Carolina chickadee,365,365,13,6,10.25,10.9
1030,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,griseus,Animalia.Chordata.Aves.Passeriformes.Vireonidae.Vireo.griseus,White-eyed vireo,365,365,13,4,12,10.9
2064,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nathusii,Animalia.Chordata.Mammalia.Chiroptera.Vespertilionidae.Pipistrellus.nathusii,Nathusius's pipistrelle,91,91,,2,10,11
570,Animalia,Chordata,Aves,Galliformes,Phasianidae,Bonasa,umbellus,Animalia.Chordata.Aves.Galliformes.Phasianidae.Bonasa.umbellus,Ruffed grouse,120,120,24,11,532,11
3777,Animalia,Chordata,Teleostei,Perciformes,Cichlidae,Oreochromis,mossambicus,Animalia.Chordata.Teleostei.Perciformes.Cichlidae.Oreochromis.mossambicus,Mozambique mouth-breeder,171,293,,,621.5,11
1121,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,grisegena,Animalia.Chordata.Aves.Podicipediformes.Podicipedidae.Podiceps.grisegena,Red-necked grebe,365,365,22,4.5,1100,11
331,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,fulgens,Animalia.Chordata.Aves.Apodiformes.Trochilidae.Eugenes.fulgens,Magnificent hummingbird,365,365,14,2,8.1,11
652,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,cyanea,Animalia.Chordata.Aves.Passeriformes.Cardinalidae.Passerina.cyanea,Indigo bunting,365,365,12,3.5,15,11
908,Animalia,Chordata,Aves,Passeriformes,Parulidae,Seiurus,aurocapilla,Animalia.Chordata.Aves.Passeriformes.Parulidae.Seiurus.aurocapilla,Ovenbird,365,365,12,4,18.8,11
914,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,chrysoparia,Animalia.Chordata.Aves.Passeriformes.Parulidae.Setophaga.chrysoparia,Golden-cheeked warbler,365,365,,,10.2,11
925,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,petechia,Animalia.Chordata.Aves.Passeriformes.Parulidae.Setophaga.petechia,Yellow warbler,365,365,12,3,9.8,11
988,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,ustulatus,Animalia.Chordata.Aves.Passeriformes.Turdidae.Catharus.ustulatus,Swainson's thrush,365,365,12,4,27.9,11
1014,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,traillii,Animalia.Chordata.Aves.Passeriformes.Tyrannidae.Empidonax.traillii,Willow flycatcher,365,365,13,3.5,12.6,11
1343,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,cunicularia,Animalia.Chordata.Aves.Strigiformes.Strigidae.Athene.cunicularia,Burrowing owl,365,365,28,8,150,11
3153,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,vivipara,Animalia.Chordata.Reptilia.Squamata.Lacertidae.Lacerta.vivipara,Viviparous lizard,730,365,,,,11
3507,Animalia,Chordata,Teleostei,Cypriniformes,Catostomidae,Hypentelium,nigricans,Animalia.Chordata.Teleostei.Cypriniformes.Catostomidae.Hypentelium.nigricans,Northern hog sucker,1000,700,,,700,11
2759,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,ludovicianus,Animalia.Chordata.Mammalia.Rodentia.Sciuridae.Cynomys.ludovicianus,Black-tailed prairie dog,730,730,30,4,1125,11
732,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo,maculatus,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Pipilo.maculatus,Spotted towhee,730,730,,,40.4,11
3812,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Lesueurigobius,friesii,Animalia.Chordata.Teleostei.Perciformes.Gobiidae.Lesueurigobius.friesii,Fries' goby,730,730,,,,11
150,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dunni,Animalia.Chordata.Amphibia.Caudata.Plethodontidae.Plethodon.dunni,Dunn's salamander,1095,1095,70,9.4,,11
97,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Animalia.Chordata.Amphibia.Anura.Ranidae.Pelophylax.ridibundus,Marsh frog,1460,1095,,6835,,11
3596,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Pelecus,cultratus,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Pelecus.cultratus,Ziege,1460,1095,,,1100,11
3524,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Aspius,aspius,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Aspius.aspius,Asp,1277,1277,,,4950,11
182,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton,verrucosus,Animalia.Chordata.Amphibia.Caudata.Salamandridae.Tylototriton.verrucosus,Mandarin salamander,1460,1460,,43,,11
1852,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,putorius,Animalia.Chordata.Mammalia.Carnivora.Mustelidae.Mustela.putorius,European polecat,312,322,42,7.5,809,11.1
343,Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa,epops,Animalia.Chordata.Aves.Bucerotiformes.Upupidae.Upupa.epops,Eurasian hoopoe,365,365,,,67.1,11.1
1024,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Animalia.Chordata.Aves.Passeriformes.Tyrannidae.Tyrannus.tyrannus,Eastern kingbird,365,365,12,3,39.9,11.1
634,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,caudatus,Animalia.Chordata.Aves.Passeriformes.Aegithalidae.Aegithalos.caudatus,Long-tailed tit,365,365,,,8.6,11.1
1004,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,cooperi,Animalia.Chordata.Aves.Passeriformes.Tyrannidae.Contopus.cooperi,Olive-sided flycatcher,365,365,15,3,32.8,11.1
1344,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,noctua,Animalia.Chordata.Aves.Strigiformes.Strigidae.Athene.noctua,Little owl,365,365,,,169,11.1
446,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,himantopus,Animalia.Chordata.Aves.Charadriiformes.Scolopacidae.Calidris.himantopus,Stilt sandpiper,730,730,,,57.3,11.1
2481,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Georychus,capensis,Animalia.Chordata.Mammalia.Rodentia.Bathyergidae.Georychus.capensis,Cape mole-rat,304,304,44,5,181,11.2
325,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,alexandri,Animalia.Chordata.Aves.Apodiformes.Trochilidae.Archilochus.alexandri,Black-chinned hummingbird,365,365,,2,3,11.2
625,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,melanopogon,Animalia.Chordata.Aves.Passeriformes.Acrocephalidae.Acrocephalus.melanopogon,Moustached warbler,365,365,,,10.9,11.2
233,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Animalia.Chordata.Aves.Accipitriformes.Accipitridae.Ictinia.mississippiensis,Mississippi kite,365,365,31,2,266,11.2
298,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,Animalia.Chordata.Aves.Anseriformes.Anatidae.Dendrocygna.bicolor,Fulvous whistling duck,365,365,25,13,737.1,11.2
935,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,hispaniolensis,Animalia.Chordata.Aves.Passeriformes.Passeridae.Passer.hispaniolensis,Spanish sparrow,365,365,,,24.2,11.2
2747,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,leucurus,Animalia.Chordata.Mammalia.Rodentia.Sciuridae.Ammospermophilus.leucurus,White-tailed antelope squirrel,365,365,29,8,105,11.2
719,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,hyemalis,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Junco.hyemalis,Dark-eyed junco,365,365,11,4,19,11.3
723,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,melodia,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Melospiza.melodia,Song sparrow,365,365,12,4,22.7,11.3
2055,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,velifer,Animalia.Chordata.Mammalia.Chiroptera.Vespertilionidae.Myotis.velifer,Cave myotis,365,365,65,1,10.1,11.3
24,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Animalia.Chordata.Amphibia.Anura.Bufonidae.Anaxyrus.punctatus,Red-spotted toad,730,730,,1500,,11.3
1046,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,stellaris,Animalia.Chordata.Aves.Pelecaniformes.Ardeidae.Botaurus.stellaris,Bittern,730,730,,,1324.5,11.3
